names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
SVEP1,92.85156,3.7280009,0.0,0.0,0.9517955354254287,0.3896499238964992,1
DIAPH3,67.422554,3.7157838,0.0,0.0,0.8078291814946619,0.23455098934550989,1
SLC25A21,42.04527,3.700246,4.18771606371e-312,2.963006648851e-311,0.5086206896551724,0.07517812999854588,2
THSD7A,17.292826,3.6933155,1.0155813069861885e-46,7.732852591265396e-46,0.6319444444444444,0.13826949749279846,3
IQSEC1,22.55688,3.687843,1.9152619126465393e-66,2.002015936564327e-65,0.7673611111111112,0.21668622639496427,3
PCDH7,85.288666,3.6734428,0.0,0.0,0.9360632183908046,0.38825069070815765,2
RNF144A,26.511782,3.6682801,3.5358303156743764e-81,4.8658215353317104e-80,0.8368055555555556,0.2686439773818415,3
PAMR1,66.3485,3.6525269,0.0,0.0,0.806858621805241,0.230441400304414,1
DDAH1,87.49666,3.6307762,0.0,0.0,0.9427369783241669,0.4085235920852359,1
LINC01182,42.058296,3.5913365,1.650132639467e-312,1.170306836501e-311,0.5380747126436781,0.12141922349861858,2
ANKRD1,75.89721,3.5900772,0.0,0.0,0.9127155172413793,0.3612040133779264,2
CCNYL1,55.930813,3.5806658,0.0,0.0,0.6881268197994177,0.1811263318112633,1
GNA14,55.84272,3.5677664,0.0,0.0,0.7062439340019411,0.17823439878234398,1
ENSG00000285679,71.55142,3.5624173,0.0,0.0,0.8631465517241379,0.2758470263196161,2
ZNF385D,23.875423,3.5457888,9.4797387148309e-72,1.1240796895056405e-70,0.8125,0.2479462285287528,3
COL27A1,33.807644,3.536536,8.666851220209976e-108,1.745003601384559e-106,0.9131944444444444,0.36359756748106264,3
NOX4,18.070034,3.5262966,1.0230903975049133e-49,8.184723180039306e-49,0.6666666666666666,0.15918062520004267,3
KITLG,22.431181,3.5228846,2.8752496252064674e-66,2.9950516929234034e-65,0.7881944444444444,0.25050677477861943,3
FILIP1,110.09719,3.5133398,0.0,0.0,0.9935344827586207,0.48989384906209105,2
DOCK9,53.067562,3.5056055,5.043530496458277e-180,2.3641549202148173e-178,0.9756944444444444,0.4627120452363171,3
LRRC8C,18.490143,3.4932463,2.757059411966885e-51,2.259884763907283e-50,0.6805555555555556,0.17827803264696468,3
FGF7,83.719345,3.4808462,0.0,0.0,0.9482368165642187,0.4252663622526636,1
GNG2,23.622791,3.4721036,6.3866848415544225e-71,7.397704449676937e-70,0.8125,0.2504000853515417,3
MYOF,95.05872,3.4672308,0.0,0.0,0.973471368489162,0.434703196347032,1
PTGIS,42.819733,3.4579346,0.0,0.0,0.5215140731154966,0.09969558599695585,1
EDA,58.937366,3.4531703,0.0,0.0,0.78125,0.24123891231641703,2
SH3BP5,27.31259,3.4438663,2.226888191017076e-84,3.2118579678130907e-83,0.8611111111111112,0.32380241118105196,3
DAB1,59.915318,3.4335046,0.0,0.0,0.7862787356321839,0.24007561436672967,2
C7,57.690475,3.4232614,0.0,0.0,0.720125786163522,0.2575044621126075,0
HGF,51.542057,3.422055,0.0,0.0,0.6320754716981132,0.18172967710530585,0
PPARG,58.966534,3.4125977,0.0,0.0,0.7412807318467696,0.26139866947914975,0
FRMD4B,56.151417,3.4074183,0.0,0.0,0.7474856321839081,0.19223498618583684,2
PPM1H,23.524643,3.397219,1.9089389511754666e-70,2.1610629635948679e-69,0.8194444444444444,0.30235783633841884,3
RHOJ,38.45949,3.390866,7.997482993099256e-127,2.016172183134266e-125,0.9409722222222222,0.39549770617731783,3
