names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
KCNH7,137.58392,8.417303,0.0,0.0,0.8940373563218391,0.02152101206921623,2
SCN5A,128.61201,7.6054463,0.0,0.0,0.8836206896551724,0.02806456303620765,2
ALPK2,128.2255,4.311234,0.0,0.0,0.9834770114942529,0.3177257525083612,2
TRDN-AS1,126.90492,8.190329,0.0,0.0,0.8796695402298851,0.020357714119528865,2
SLC8A1,125.875656,3.8597312,0.0,0.0,0.9985632183908046,0.5665261014977461,2
FGF12,125.856125,5.7970743,0.0,0.0,0.9313936781609196,0.17304057001599535,2
ADCY5,124.844864,7.7325096,0.0,0.0,0.8739224137931034,0.025010905918278318,2
MYOZ2,119.706535,5.110584,0.0,0.0,0.9267241379310345,0.14948378653482625,2
ABLIM1,118.716156,3.8315353,0.0,0.0,0.9906609195402298,0.409480878289952,2
MPPED2,117.971176,8.07489,0.0,0.0,0.8573994252873564,0.01643158353933401,2
MYH7,115.19352,5.6086183,0.0,0.0,0.9022988505747126,0.10702341137123746,2
MYH6,114.77614,6.30139,0.0,0.0,0.8868534482758621,0.06063690562745383,2
TMOD1,113.00722,7.8474965,0.0,0.0,0.8462643678160919,0.01599534680820125,2
RCAN2,111.188156,5.5657287,0.0,0.0,0.8890086206896551,0.10673258688381562,2
FILIP1,110.09719,3.5133398,0.0,0.0,0.9935344827586207,0.48989384906209105,2
POPDC2,109.59228,7.3835754,0.0,0.0,0.8401580459770115,0.022684310018903593,2
ENSG00000287683,104.68763,8.972753,0.0,0.0,0.8186063218390804,0.008579322378944307,2
AFF3,103.39234,5.138818,0.0,0.0,0.884698275862069,0.1393049294750618,2
KIF21A,103.272064,3.7877011,0.0,0.0,0.9669540229885057,0.34011923803984295,2
EPHA7,102.03223,8.302091,0.0,0.0,0.8132183908045977,0.012505452959139159,2
MROH7,101.097786,7.9421105,0.0,0.0,0.8096264367816092,0.014104987639959285,2
SPHKAP,99.337456,8.14229,0.0,0.0,0.8060344827586207,0.01657699578304493,2
PPP1R14C,98.56807,7.8483915,0.0,0.0,0.8017241379310345,0.014395812127381126,2
LINC02552,98.41966,8.64668,0.0,0.0,0.7995689655172413,0.00930638359749891,2
XKR6,97.74818,4.517381,0.0,0.0,0.8969109195402298,0.17812999854587755,2
PLXNA4,96.96359,3.9340177,0.0,0.0,0.9522270114942529,0.3348843972662498,2
EPHA4,94.97562,6.3935595,0.0,0.0,0.8153735632183908,0.051185109786244,2
CCSER1,94.69104,6.844314,0.0,0.0,0.8042385057471264,0.03431728951577723,2
