"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LINC02315",0,2.51603308695087,0.515,0.122,0,"1","LINC02315"
"GABRE",0,2.22153159829735,0.519,0.126,0,"1","GABRE"
"MICAL3",0,1.59717819742211,0.801,0.411,0,"1","MICAL3"
"STRBP",0,1.68217956798222,0.549,0.159,0,"1","STRBP"
"NR6A1",0,1.48074799887376,0.618,0.229,0,"1","NR6A1"
"TRIM24",0,1.35938273678458,0.662,0.28,0,"1","TRIM24"
"FRAS1",0,1.6640657475409,0.634,0.253,0,"1","FRAS1"
"PLXNA2",0,1.26100242581847,0.606,0.226,0,"1","PLXNA2"
"MARK1",0,1.62322928749555,0.566,0.186,0,"1","MARK1"
"FHL2",0,2.52946547642431,0.827,0.447,0,"1","FHL2"
"TBC1D4",0,1.57856904092247,0.702,0.322,0,"1","TBC1D4"
"SFRP1",0,1.66879855131088,0.525,0.146,0,"1","SFRP1"
"GUCY1A2",0,1.58395243482677,0.634,0.255,0,"1","GUCY1A2"
"BZW2",0,1.5850252199936,0.601,0.223,0,"1","BZW2"
"NUDT4",0,1.61687588454008,0.598,0.224,0,"1","NUDT4"
"FGD6",0,1.57884588600131,0.585,0.212,0,"1","FGD6"
"XPR1",0,1.56379094917565,0.686,0.314,0,"1","XPR1"
"BMT2",0,1.62019982200864,0.667,0.296,0,"1","BMT2"
"AFG3L2",0,1.19463293937821,0.683,0.313,0,"1","AFG3L2"
"PLCB4",0,1.26252967442878,0.7,0.33,0,"1","PLCB4"
"ANK2",0,1.88950360561332,0.803,0.434,0,"1","ANK2"
"COL4A5",0,1.67789391817205,0.744,0.375,0,"1","COL4A5"
"EDNRA",0,1.17202260975902,0.673,0.307,0,"1","EDNRA"
"STK39",0,2.31028896814153,0.854,0.488,0,"1","STK39"
"EPB41L3",0,1.48134533732234,0.647,0.282,0,"1","EPB41L3"
"DOCK9",0,1.17584017485823,0.625,0.262,0,"1","DOCK9"
"CGNL1",0,1.35598188078141,0.559,0.197,0,"1","CGNL1"
"AP1S2",0,1.63117605335132,0.503,0.141,0,"1","AP1S2"
"WNT5B",0,1.67416084916179,0.519,0.158,0,"1","WNT5B"
"ATP2A2",0,1.6175481485649,0.797,0.437,0,"1","ATP2A2"
"ARHGAP26",0,1.27032476667431,0.73,0.37,0,"1","ARHGAP26"
"PDE4D",0,1.25699596045336,0.789,0.431,0,"1","PDE4D"
"PLCL1",0,1.58952029915528,0.758,0.401,0,"1","PLCL1"
"INPP4B",0,2.12399639598116,0.823,0.467,0,"1","INPP4B"
"FRMD4B",0,1.35478503019742,0.531,0.177,0,"1","FRMD4B"
"ENSG00000289405",0,1.58453885305062,0.525,0.171,0,"1","ENSG00000289405"
"MGAT5",0,1.47945770092063,0.759,0.408,0,"1","MGAT5"
"DENND5B",0,1.60121776018835,0.786,0.435,0,"1","DENND5B"
"KIAA1958",0,1.63074966663388,0.505,0.154,0,"1","KIAA1958"
"XPO4",0,1.60975576393304,0.727,0.378,0,"1","XPO4"
"MAN1C1",0,1.45410253130979,0.562,0.214,0,"1","MAN1C1"
"MAST4",0,1.79192442753682,0.828,0.487,0,"1","MAST4"
"SMYD2",0,1.40879775279311,0.513,0.173,0,"1","SMYD2"
"LTBP1",0,1.71606487103272,0.821,0.483,0,"1","LTBP1"
"STOX2",0,1.61238023129893,0.506,0.17,0,"1","STOX2"
"GATA4",0,1.2398630264592,0.782,0.449,0,"1","GATA4"
"NLGN1",0,1.41220186005232,0.81,0.478,0,"1","NLGN1"
"TBX20",0,1.3109305651859,0.749,0.417,0,"1","TBX20"
"CACNA1C",0,3.00894798643836,0.935,0.604,0,"1","CACNA1C"
"NEXN",0,1.45674362773133,0.824,0.493,0,"1","NEXN"
"PRICKLE1",0,2.10587303240009,0.861,0.53,0,"1","PRICKLE1"
"CPEB4",0,1.19490455550536,0.763,0.443,0,"1","CPEB4"
"IL1RAPL1",0,1.93001055440176,0.789,0.472,0,"1","IL1RAPL1"
"SNHG14",0,1.96214008744838,0.845,0.53,0,"1","SNHG14"
"CDH2",0,1.43418454975723,0.873,0.559,0,"1","CDH2"
"SLIT3",0,1.00384685942237,0.872,0.566,0,"1","SLIT3"
"RAPGEF2",0,1.42931120160016,0.797,0.495,0,"1","RAPGEF2"
"DLG2",0,1.76860893762545,0.809,0.515,0,"1","DLG2"
"DMD",0,2.54347667741661,0.934,0.649,0,"1","DMD"
"DANT2",0,1.51220157875921,0.796,0.513,0,"1","DANT2"
"VWA8",0,1.19746354738435,0.802,0.542,0,"1","VWA8"
"RUNX1T1",0,1.11378172141568,0.836,0.583,0,"1","RUNX1T1"
"PALLD",0,2.59074816623544,0.954,0.721,0,"1","PALLD"
"PDLIM5",0,1.95812680772402,0.937,0.73,0,"1","PDLIM5"
"KIF13A",0,1.1010416609892,0.868,0.666,0,"1","KIF13A"
"FOXP1",0,1.17439152861502,0.883,0.699,0,"1","FOXP1"
"RBPMS",0,1.18670607300103,0.873,0.699,0,"1","RBPMS"
"PTPRK",0,1.34968315100502,0.889,0.727,0,"1","PTPRK"
"PAM",0,1.41992683148292,0.888,0.75,0,"1","PAM"
"MEF2A",0,1.04685582937619,0.883,0.745,0,"1","MEF2A"
"AKAP13",0,1.30271238767768,0.896,0.768,0,"1","AKAP13"
"QKI",0,1.18122094274888,0.894,0.767,0,"1","QKI"
"AUTS2",0,1.08068403532269,0.906,0.786,0,"1","AUTS2"
"TPM1",0,1.18508701346342,0.974,0.857,0,"1","TPM1"
"FBXL7",0,1.21484881149179,0.924,0.827,0,"1","FBXL7"
"KIFAP3",9.88131291682493e-324,1.26075591352778,0.748,0.443,3.81477966466943e-319,"1","KIFAP3"
"SCMH1",1.18575755001899e-322,1.29904920786486,0.754,0.481,4.57773559760332e-318,"1","SCMH1"
"LAMA2",2.72526610246032e-320,1.0307004160381,0.927,0.858,1.05211623151583e-315,"1","LAMA2"
"MSRB3",4.44034588209566e-315,1.04960893425567,0.815,0.567,1.71423993124185e-310,"1","MSRB3"
"MEIS1",7.6740240319444e-315,1.19750677108839,0.669,0.317,2.96263371777246e-310,"1","MEIS1"
"BMPR1A",2.51224196021159e-314,1.16300216721776,0.786,0.511,9.69876131159285e-310,"1","BMPR1A"
"PFKP",1.2731487247015e-309,1.24543093057278,0.546,0.202,4.9151179665826e-305,"1","PFKP"
"EZR",1.27811393881969e-307,1.15828381648804,0.514,0.177,4.93428667220731e-303,"1","EZR"
"SYNE2",2.89588251940151e-306,1.16128982764587,0.714,0.357,1.11798440544015e-301,"1","SYNE2"
"NEDD4L",7.24782580363798e-302,1.44784731956346,0.538,0.208,2.79809562975248e-297,"1","NEDD4L"
"MTUS1",2.56513313443695e-298,1.34059212155291,0.51,0.184,9.90295297880729e-294,"1","MTUS1"
"MDH1",5.39633863757882e-292,1.09896964554599,0.54,0.199,2.08331049442368e-287,"1","MDH1"
"CREM",8.32512999201971e-292,1.38820788521487,0.511,0.191,3.21399968471913e-287,"1","CREM"
"GUCY1A1",1.54468820582015e-288,1.16292978194542,0.543,0.205,5.96342328738925e-284,"1","GUCY1A1"
"ATP1B1",7.91377230696686e-287,1.13229042624522,0.595,0.249,3.05519093682763e-282,"1","ATP1B1"
"USP13",1.2512234931194e-286,1.22824708724307,0.529,0.2,4.83047341753676e-282,"1","USP13"
"SLC25A12",4.83098286482761e-286,1.16951735729145,0.62,0.281,1.86504924479535e-281,"1","SLC25A12"
"ABHD18",4.66878391791189e-284,1.24374996229157,0.653,0.325,1.80243071934906e-279,"1","ABHD18"
"PYGB",2.71527495606431e-277,1.33537332203396,0.51,0.194,1.04825904953819e-272,"1","PYGB"
"UPF3A",5.65235833581006e-275,1.09206061366027,0.707,0.389,2.18214945912283e-270,"1","UPF3A"
"RGL1",1.34314089412647e-274,1.12345457630616,0.76,0.483,5.18532973586464e-270,"1","RGL1"
