"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSPB8",0,1.28078648159927,0.758,0.064,0,"0","HSPB8"
"IGSF9B",0,1.29760637509217,0.757,0.064,0,"0","IGSF9B"
"DANT2",0,1.80615099372824,0.943,0.251,0,"0","DANT2"
"CTNND2",0,1.33481159349221,0.854,0.163,0,"0","CTNND2"
"MAPK4",0,1.83230933272004,0.73,0.039,0,"0","MAPK4"
"MICAL3",0,1.5794206308639,0.959,0.268,0,"0","MICAL3"
"DGLUCY",0,1.01626835768538,0.92,0.23,0,"0","DGLUCY"
"HAND2-AS1",0,1.13311886358901,0.938,0.248,0,"0","HAND2-AS1"
"FBN2",0,1.28501336128305,0.818,0.128,0,"0","FBN2"
"MROH7",0,1.22151906621323,0.777,0.088,0,"0","MROH7"
"GNG7",0,1.5979812395617,0.744,0.055,0,"0","GNG7"
"MB",0,1.06378540611288,0.807,0.119,0,"0","MB"
"DES",0,1.05399882936496,0.928,0.242,0,"0","DES"
"GCOM1",0,1.27945781514858,0.733,0.048,0,"0","GCOM1"
"SLC5A1",0,1.75876458806959,0.728,0.043,0,"0","SLC5A1"
"TTN-AS1",0,2.19083393826201,0.929,0.245,0,"0","TTN-AS1"
"UBE2O",0,1.01444705017857,0.795,0.113,0,"0","UBE2O"
"PROX1",0,1.13018034272969,0.752,0.071,0,"0","PROX1"
"MIR133A1HG",0,1.18744303403288,0.795,0.114,0,"0","MIR133A1HG"
"SNRPN",0,1.08344947127841,0.759,0.079,0,"0","SNRPN"
"MLYCD",0,1.06553732595542,0.767,0.088,0,"0","MLYCD"
"PPP2R3B",0,1.99303177112413,0.712,0.033,0,"0","PPP2R3B"
"CEP85",0,1.25610077468661,0.724,0.047,0,"0","CEP85"
"COQ8A",0,1.74297892235151,0.727,0.051,0,"0","COQ8A"
"MRPS25",0,1.4176000939037,0.83,0.154,0,"0","MRPS25"
"RPL3L",0,1.40663722048505,0.712,0.036,0,"0","RPL3L"
"CSDC2",0,2.56485983617796,0.7,0.024,0,"0","CSDC2"
"NALCN",0,1.03864555320148,0.775,0.1,0,"0","NALCN"
"AKAP1",0,1.05687728415035,0.736,0.063,0,"0","AKAP1"
"PFKM",0,1.03135853889817,0.746,0.074,0,"0","PFKM"
"TTTY10",0,1.34159372024313,0.923,0.251,0,"0","TTTY10"
"LRRTM3",0,1.4140754725993,0.727,0.055,0,"0","LRRTM3"
"MACROD2",0,1.3955532456538,0.856,0.187,0,"0","MACROD2"
"ESRRB",0,2.05776781773177,0.701,0.033,0,"0","ESRRB"
"RBFOX1",0,1.41878529452057,0.964,0.297,0,"0","RBFOX1"
"NCKAP5",0,1.1473758597442,0.945,0.278,0,"0","NCKAP5"
"SLC27A1",0,1.34738852647895,0.723,0.056,0,"0","SLC27A1"
"ENSG00000288659",0,1.88893159738076,0.975,0.31,0,"0","ENSG00000288659"
"SLCO5A1",0,1.14965004088687,0.74,0.076,0,"0","SLCO5A1"
"PFKFB2",0,1.60896514039975,0.718,0.055,0,"0","PFKFB2"
"MIR4432HG",0,1.20200377052498,0.714,0.051,0,"0","MIR4432HG"
"TACC2",0,2.05508991245133,0.977,0.315,0,"0","TACC2"
"CHN2",0,1.36199134238084,0.943,0.284,0,"0","CHN2"
"EYA4",0,2.08175916384738,0.796,0.138,0,"0","EYA4"
"DYNC1I1",0,1.22153599516777,0.908,0.25,0,"0","DYNC1I1"
"PPP1R14C",0,1.34990388616329,0.705,0.047,0,"0","PPP1R14C"
"MACROD1",0,1.66270645683737,0.713,0.055,0,"0","MACROD1"
"ABHD2",0,1.22420452700308,0.85,0.192,0,"0","ABHD2"
"DPY19L2",0,1.01342076683437,0.966,0.311,0,"0","DPY19L2"
"ZDHHC11B",0,1.31216214302707,0.709,0.054,0,"0","ZDHHC11B"
"NOS1AP",0,1.11014901636377,0.703,0.051,0,"0","NOS1AP"
"ENSG00000291233",0,1.38473354126793,0.702,0.052,0,"0","ENSG00000291233"
"CPT1B",0,1.84092752429491,0.676,0.028,0,"0","CPT1B"
"LINC00881",0,1.79793140340333,0.71,0.065,0,"0","LINC00881"
"KCNN2",0,1.24015777909524,0.748,0.103,0,"0","KCNN2"
"ENSG00000286277",0,1.24394910586936,0.695,0.05,0,"0","ENSG00000286277"
"MYH14",0,1.64179103930466,0.677,0.033,0,"0","MYH14"
"LMO7",0,1.44869776430723,0.973,0.33,0,"0","LMO7"
"TANGO2",0,1.37840795231978,0.707,0.064,0,"0","TANGO2"
"LPL",0,2.20628069050035,0.924,0.282,0,"0","LPL"
"HEY2",0,1.00216790640761,0.717,0.077,0,"0","HEY2"
"LDB3",0,2.88417447397687,0.989,0.349,0,"0","LDB3"
"CKM",0,1.03531574568204,0.721,0.081,0,"0","CKM"
"ENSG00000291133",0,1.08365456785847,0.964,0.324,0,"0","ENSG00000291133"
"MYH6",0,3.09035651275759,0.707,0.067,0,"0","MYH6"
"CHRM2",0,1.30874895172695,0.961,0.325,0,"0","CHRM2"
"FRMD5",0,1.65379971155287,0.698,0.062,0,"0","FRMD5"
"USH2A",0,1.2241986819246,0.702,0.067,0,"0","USH2A"
"GOLGA8B",0,1.35555010117824,0.679,0.045,0,"0","GOLGA8B"
"ATP1A3",0,1.6498773604945,0.662,0.028,0,"0","ATP1A3"
"LINC02254",0,1.10640141183689,0.692,0.058,0,"0","LINC02254"
"SH3RF2",0,1.19073132920258,0.678,0.046,0,"0","SH3RF2"
"PLPP7",0,1.67037443641176,0.668,0.036,0,"0","PLPP7"
"IUR1",0,1.44952514894121,0.659,0.027,0,"0","IUR1"
"SNTA1",0,1.04756461312926,0.679,0.047,0,"0","SNTA1"
"CCDC141",0,1.0656027731016,0.967,0.336,0,"0","CCDC141"
"PARM1",0,1.08411185369849,0.697,0.074,0,"0","PARM1"
"LINC02334",0,1.9589091646003,0.665,0.042,0,"0","LINC02334"
"USP2",0,2.19445258040985,0.641,0.022,0,"0","USP2"
"KCNIP2",0,1.85097419892558,0.655,0.037,0,"0","KCNIP2"
"MITF",0,1.14854670142088,0.959,0.341,0,"0","MITF"
"ENSG00000261502",0,1.44826673758023,0.685,0.069,0,"0","ENSG00000261502"
"ACSS1",0,1.08822346393044,0.697,0.081,0,"0","ACSS1"
"ROR1",0,1.56995874657596,0.973,0.359,0,"0","ROR1"
"ENSG00000267784",0,2.24994324046255,0.64,0.027,0,"0","ENSG00000267784"
"ENSG00000260658",0,1.554510560521,0.858,0.245,0,"0","ENSG00000260658"
"TNNI3",0,1.87907881700078,0.973,0.36,0,"0","TNNI3"
"TRDN",0,1.38248411089525,0.974,0.362,0,"0","TRDN"
"BDNF",0,2.2104277889082,0.647,0.036,0,"0","BDNF"
"SPEG",0,1.74835101596548,0.632,0.024,0,"0","SPEG"
"ENSG00000288951",0,2.53287609165028,0.64,0.033,0,"0","ENSG00000288951"
"LINC02984",0,1.50697397513326,0.642,0.035,0,"0","LINC02984"
"LINC02362",0,1.14714612854514,0.65,0.044,0,"0","LINC02362"
"IDH2",0,1.02201938751017,0.662,0.056,0,"0","IDH2"
"FLACC1",0,1.48606985264229,0.655,0.05,0,"0","FLACC1"
"ENSG00000248994",0,1.19370926879031,0.658,0.053,0,"0","ENSG00000248994"
"ACTC1",0,1.43693987301315,0.761,0.157,0,"0","ACTC1"
"PDE4DIP",0,2.13854457351313,0.986,0.384,0,"0","PDE4DIP"
"ENSG00000288771",0,1.09088780706088,0.677,0.076,0,"0","ENSG00000288771"
"ENSG00000289254",0,1.94686808519551,0.624,0.023,0,"0","ENSG00000289254"
"PHACTR1",0,1.52378934328288,0.95,0.352,0,"0","PHACTR1"
"UBE2QL1",0,2.4613322486028,0.615,0.019,0,"0","UBE2QL1"
"RALYL",0,1.3401098782756,0.784,0.189,0,"0","RALYL"
"ENSG00000286749",0,2.19360291238314,0.653,0.063,0,"0","ENSG00000286749"
"PKD1L2",0,1.01983458971538,0.623,0.033,0,"0","PKD1L2"
"PLCXD3",0,1.95863813545548,0.975,0.386,0,"0","PLCXD3"
"MYOZ2",0,2.08857260447709,0.98,0.394,0,"0","MYOZ2"
"ENSG00000183308",0,1.07867249533842,0.646,0.061,0,"0","ENSG00000183308"
"CORIN",0,1.04658008600706,0.709,0.124,0,"0","CORIN"
"EGF",0,1.40172512106456,0.622,0.038,0,"0","EGF"
"NIBAN1",0,1.56434137605633,0.944,0.361,0,"0","NIBAN1"
"RNF150",0,1.2254364353207,0.966,0.383,0,"0","RNF150"
"FNIP2",0,1.19286371123319,0.896,0.314,0,"0","FNIP2"
"EFNA5",0,1.23262417660331,0.975,0.394,0,"0","EFNA5"
"PDZRN3",0,1.82781981057579,0.98,0.4,0,"0","PDZRN3"
"ACTN2",0,2.06206183882703,0.988,0.415,0,"0","ACTN2"
"ART3",0,1.1132093854174,0.609,0.037,0,"0","ART3"
"ANK1",0,1.57185239069105,0.61,0.038,0,"0","ANK1"
"MYOM2",0,2.38735183311473,0.991,0.421,0,"0","MYOM2"
"CAND2",0,1.09193087300422,0.602,0.035,0,"0","CAND2"
"ENSG00000253369",0,1.576499944091,0.621,0.054,0,"0","ENSG00000253369"
"ASB11",0,1.04501235038611,0.606,0.04,0,"0","ASB11"
"KANK1",0,1.16390285054416,0.965,0.4,0,"0","KANK1"
"SEMA4B",0,1.08206479813431,0.607,0.042,0,"0","SEMA4B"
"ANKRD2",0,2.86254246643461,0.611,0.047,0,"0","ANKRD2"
"ENSG00000229618",0,1.23503586664405,0.912,0.35,0,"0","ENSG00000229618"
"MYBPC3",0,3.05577165491395,0.991,0.43,0,"0","MYBPC3"
"PDE7A",0,1.44429331701363,0.97,0.41,0,"0","PDE7A"
"EPB41L4B",0,1.8635983260437,0.586,0.028,0,"0","EPB41L4B"
"HSPB3",0,1.07988943978207,0.587,0.031,0,"0","HSPB3"
"ASB15-AS1",0,2.12153141008874,0.572,0.016,0,"0","ASB15-AS1"
"SLC22A5",0,1.23272171006717,0.586,0.032,0,"0","SLC22A5"
"MSI2",0,1.05963816475599,0.967,0.416,0,"0","MSI2"
"ESRRG",0,1.11630087236919,0.975,0.425,0,"0","ESRRG"
"PXDNL",0,1.58261187066216,0.969,0.419,0,"0","PXDNL"
"SLC2A11",0,1.19452260065122,0.579,0.031,0,"0","SLC2A11"
"LINC01719",0,1.08846421592936,0.573,0.026,0,"0","LINC01719"
"ENSG00000234352",0,1.33292059276915,0.577,0.03,0,"0","ENSG00000234352"
"FHOD3",0,1.92829482716507,0.984,0.437,0,"0","FHOD3"
"ANKRD9",0,1.97781110347534,0.566,0.021,0,"0","ANKRD9"
"MLPH",0,1.50438409221787,0.571,0.027,0,"0","MLPH"
"PLCL2",0,1.02020912785938,0.956,0.414,0,"0","PLCL2"
"FLNC",0,1.64970897138335,0.567,0.026,0,"0","FLNC"
"RBM20",0,2.89861475715677,0.994,0.453,0,"0","RBM20"
"SDC4",0,1.20428103551536,0.573,0.032,0,"0","SDC4"
"KCNMB2",0,1.17656742244966,0.829,0.29,0,"0","KCNMB2"
"ENSG00000271945",0,1.81352222568509,0.597,0.059,0,"0","ENSG00000271945"
"NEXN",0,2.48427402394312,0.99,0.453,0,"0","NEXN"
